thank you fOR YOUR VALUABLE INFORMATION ABOUT THE COLLEGE,Can you try rephrasing that please?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=thank you fOR YOUR VALUABLE INFORMATION ABOUT THE COLLEGE'>thank you fOR YOUR VALUABLE INFORMATION ABOUT THE COLLEGE</a>
thank you for your valuable information about the college,It was my duty to reveal informations about the college with you.Do you Want to join to our College.
Hello,Welcome To MBC CHAT BOT
fees structure,"******************Admission Fees-Rs500******************         **********************************Tution Fees-Rs75000(Management Quota ,Per Year)**************************************************************                                                                                                                          ******************Exam Fees-Rs3400******************             ******************Other Fees=Rs11000(First Year Only),Rs5000(For Rest of the Years)*************************                                                       ************************Tution Fees-Rs50,000(Government Quota)*******************************"
Hello,Welcome To MBC CHAT BOT
fees structure,"******************Admission Fees-Rs500****************************************************Tution Fees-Rs75000(Management Quota ,Per Year)**************************************************************                                                                                                                          ******************Exam Fees-Rs3400*****************************Other Fees=Rs11000(First Year Only),Rs5000(For Rest of the Years) ************************Tution Fees-Rs50,000(Government Quota)******************"
Hello,Welcome To MBC CHAT BOT
fees structure,"***********Admission Fees-Rs500****************Tution Fees-Rs75000(Management Quota ,Per Year)******************Exam Fees-Rs3400*****************************Other Fees=Rs11000(First Year Only),Rs5000(For Rest of the Years) ************************Tution Fees-Rs50,000(Government Quota)******************"
Hello,Welcome To MBC CHAT BOT
fees structure,"***Admission Fees-Rs500***Tution Fees-Rs75000(Management Quota ,Per Year)***Exam Fees-Rs3400***Other Fees=Rs11000(First Year Only),Rs5000(For Rest of the Years)***Tution Fees-Rs50,000(Government Quota)***"
Hello,Welcome To MBC CHAT BOT
hai,Welcome
fees structure,"***Admission Fees-Rs500***Tution Fees-Rs75000(Management Quota ,Per Year)***Exam Fees-Rs3400***Other Fees=Rs11000(First Year Only),Rs5000(For Rest of the Years)***Tution Fees-Rs50,000(Government Quota)***"
facilities in the college,"Library,Physical Education,Central Computing Facility(CCF),Language LAB,Hostels,ICT Facilities,Health Club,Tranportation, E-Content Development,Cafeteria,Chapel,Media Centre,Staff Welfare"
transportation facilities in the college,"MBC offers transportation facilities to day scholars and faculties for an easy acces to the college.There are seven college buses for to and fro travel from Pampady,Kumil,Kattappana on week days and kottayam,Parumala and Adoor on weekends.The college buses have experienced drivers and supporting staff for a comfortable travel.<img src=""https://www.mbcpeermade.com/UserFiles/MBC/Facilities/Transportation/college_bus.jpg"">"
who are you,"I am MBC Powered Chat Bot <img src=""https://storage.googleapis.com/ezap-prod/colleges/2100/mar-baselios-christian-college-of-engineering-and-technology-kuttikanam-peermade-logo.jpg"">"
courses offered,"There are mainly Five Streams in BTech,ie Computer Science and Engineering,Electrical and Electronics Engineering,Electronics and Communication Engineering,Civil Engineering,Mechanical Engineering."
what is the time is,getTime
Hello,Welcome To MBC CHAT BOT
under which university ,"Kerala Technological University(KTU).<img src=""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJZ03-x5yWcCboU1-KYA78eVAO2GmnAbwZAcf41lDto2C386NYRmB8_eGlZCyvX_bZmiU&usqp=CAU.jpg"">"
transport facilities ,I could not tell you<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=transport facilities '>transport facilities </a>
transport facilities in the college,"MBC offers transportation facilities to day scholars and faculties for an easy acces to the college.There are seven college buses for to and fro travel from Pampady,Kumil,Kattappana on week days and kottayam,Parumala and Adoor on weekends.The college buses have experienced drivers and supporting staff for a comfortable travel.<img src=""https://www.mbcpeermade.com/UserFiles/MBC/Facilities/Transportation/college_bus.jpg"">"
Hello,Welcome To MBC CHAT BOT.How Can I Help you? What is your name.
My name is Rijo,Can you try rephrasing that please?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=My name is Rijo'>My name is Rijo</a>
Hello,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Hello'>Hello</a>
Hello,Welcome To MBC CHAT BOT.How Can I Help you? What is your name.
My name is Rijo,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=My name is Rijo'>My name is Rijo</a>
hallo,Welcome To MBC CHAT BOT.How Can I Help you? What is your name.
hai,hello
courses offered,"There are mainly Five Streams in BTech,ie Computer Science and Engineering,Electrical and Electronics Engineering,Electronics and Communication Engineering,Civil Engineering,Mechanical Engineering."
fees structure,"***Admission Fees-Rs500***Tution Fees-Rs75000(Management Quota ,Per Year)***Exam Fees-Rs3400***Other Fees=Rs11000(First Year Only),Rs5000(For Rest of the Years)***Tution Fees-Rs50,000(Government Quota)***"
facilities in the college,"Library,Physical Education,Central Computing Facility(CCF),Language LAB,Hostels,ICT Facilities,Health Club,Tranportation, E-Content Development,Cafeteria,Chapel,Media Centre,Staff Welfare"
Transportation facilities ,"MBC offers transportation facilities to day scholars and faculties for an easy acces to the college.There are seven college buses for to and fro travel from Pampady,Kumil,Kattappana on week days and kottayam,Parumala and Adoor on weekends.The college buses have experienced drivers and supporting staff for a comfortable travel.<img src=""https://www.mbcpeermade.com/UserFiles/MBC/Facilities/Transportation/college_bus.jpg"">"
Thank you for  your valuable information,Thank You
thank you for your valuable information about the college,It was my duty to reveal informations about the college with you.Do you Want to join to our College.
Hello,Welcome To MBC CHAT BOT.How Can I Help you? What is your name.
hai,Welcome
fees structure,"***Admission Fees-Rs500***Tution Fees-Rs75000(Management Quota ,Per Year)***Exam Fees-Rs3400***Other Fees=Rs11000(First Year Only),Rs5000(For Rest of the Years)***Tution Fees-Rs50,000(Government Quota)***"
facilities in the college,"Library,Physical Education,Central Computing Facility(CCF),Language LAB,Hostels,ICT Facilities,Health Club,Tranportation, E-Content Development,Cafeteria,Chapel,Media Centre,Staff Welfare"
Tansportation facilities,"MBC offers transportation facilities to day scholars and faculties for an easy acces to the college.There are seven college buses for to and fro travel from Pampady,Kumil,Kattappana on week days and kottayam,Parumala and Adoor on weekends.The college buses have experienced drivers and supporting staff for a comfortable travel.<img src=""https://www.mbcpeermade.com/UserFiles/MBC/Facilities/Transportation/college_bus.jpg"">"
Thank for  your valuable information about the college,It was my duty to reveal informations about the college with you.Do you Want to join to our College.
yes,There are some things I just don't known about yet.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=yes'>yes</a>
Yes,Thanking for your interest to join to our college.So please click the link to redirect to the registration site:
Hello,Welcome To MBC CHAT BOT.How Can I Help you? What is your name.
thank you for your valuable information about the college,It was my duty to reveal informations about the college with you.Do you Want to join to our College.
yes,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=yes'>yes</a>
Hello,Welcome To MBC CHAT BOT.How Can I Help you? What is your name.
thank you for your valuable information about the college,It was my duty to reveal informations about the college with you.Do you Want to join to our College.
yes,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=yes'>yes</a>
Yes,Thanking  for your interest to join to our college.So please click the link to redirect to the registration site:
Hello,Welcome To MBC CHAT BOT.How Can I Help you? What is your name.
hai,hello
Who are you,"I am MBC Powered Chat Bot <img src=""https://storage.googleapis.com/ezap-prod/colleges/2100/mar-baselios-christian-college-of-engineering-and-technology-kuttikanam-peermade-logo.jpg"">"
Hostel facilities in the college,"There are two seperate hostels for boys and girls.Boys Have two hostels MH1 and MH2,girls also have two hostels LH1 and LH2."
under which university the college,"Kerala Technological University(KTU).<img src=""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJZ03-x5yWcCboU1-KYA78eVAO2GmnAbwZAcf41lDto2C386NYRmB8_eGlZCyvX_bZmiU&usqp=CAU.jpg"">"
doccuments required,"Tenth andTwelth Mark Sheet(Original),KEAM Mark Sheet,Contact Certificate from School,Copy of Birth Certificate,Adhar Card(Copy)."
Thank you for your valuable information about the college,It was my duty to reveal informations about the college with you.Do you Want to join to our College.
Thank you,"Please rate the experience with the chat bot<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I am great ')"";>Excellent</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thank you')"";>Good</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I am Bad')"";>Bad</a><br>"
I am great ,Thank you so much.
Thank you,Good to hear from you.
I am Bad,I'm sorry to hear that.Hopefully things will get better soon.
yes,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=yes'>yes</a>
Yes,Thank you for your interest to join to our college.So please click the link to redirect to the registration site:
Hello,Welcome To MBC CHAT BOT.How Can I Help you? What is your name.
hai,Welcome
courses offered,"There are mainly Five Streams in BTech,ie Computer Science and Engineering,Electrical and Electronics Engineering,Electronics and Communication Engineering,Civil Engineering,Mechanical Engineering."
transportation facility,I could not tell you<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=transportation facility'>transportation facility</a>
transportation facility in the college,"There are two seperate hostels for boys and girls.Boys Have two hostels MH1 and MH2,girls also have two hostels LH1 and LH2."
hostel facilities,"There are two seperate hostels for boys and girls.Boys Have two hostels MH1 and MH2,girls also have two hostels LH1 and LH2."
Transportation Facilities in the College,"MBC offers transportation facilities to day scholars and faculties for an easy acces to the college.There are seven college buses for to and fro travel from Pampady,Kumil,Kattappana on week days and kottayam,Parumala and Adoor on weekends.The college buses have experienced drivers and supporting staff for a comfortable travel.<img src=""https://www.mbcpeermade.com/UserFiles/MBC/Facilities/Transportation/college_bus.jpg"">"
Thank you for your valuable information about the college,It was my duty to reveal informations about the college with you.Do you Want to join to our College.
yes,"Thank you for your interest to join to our college.So please click the link to redirect to the registration site:<a href=""https://www.mbcpeermade.com/Admissions/B-Tech/1"">MBCCET website</a>"
Hello,Welcome To MBC CHAT BOT.How Can I Help you?
what day is it?,"Today is Wednesday, 6/8/2022"
what is the time is,The time is now 1:00 PM EST
Hello,Welcome To MBC CHAT BOT.How Can I Help you?
what day is it,"Today is Wednesday, 6/8/2022"
Hello,Welcome To MBC CHAT BOT.How Can I Help you?
what day is it,The time is now 1:06 PM EST
what is the day is it,The time is now 1:06 PM EST
Hello,Welcome To MBC CHAT BOT.How Can I Help you?
What day is it?,"Today is Wednesday, 6/8/2022"
thank you for your valuable information about the college,It was my duty to reveal informations about the college with you.Do you Want to join to our College.
yes,"Thank you for your interest to join to our college.So please click the link to redirect to the registration site:<a href=""https://www.mbcpeermade.com/Admissions/B-Tech/1"">MBCCET website</a>"
thank you,"Please rate the experience with the chat bot<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I am great ')"";>Excellent</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thank you')"";>Good</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I am Bad')"";>Bad</a><br>"
I am great ,Thank you so much.
Thank you,"Please rate the experience with the chat bot<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I am great ')"";>Excellent</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thank you')"";>Good</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I am Bad')"";>Bad</a><br>"
